Modalidad;actividad;descripcion_actividad;lugar;dirección;calle;altura;barrio ;comuna;fecha_ini;fecha_fin;tipo;tipo_actividad;disciplina;publico_objetivo;se_suspende_por_lluvia;Gratuita;long;lat;Links
Virtual;A Ver Qué Escucha: Soledad Pastorutti;;;;;;;;2021-07-15;2021-12-31;Actividad;Ciclo;Mixto;Público General;No;si;;;
Presencial;Ciclo Fogoncitos - Mago Khapu + Los Ludic;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-21;2021-07-21;Actividad;Ciclo;Música;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Ciclo Fogoncitos - Loyola Circo + Eitis Magia;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-20;2021-07-20;Actividad;Ciclo;Música;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Ciclo Fogoncitos - Julián Baldani + Patachusa;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-26;2021-07-26;Actividad;Ciclo;Música;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Ciclo Fogoncitos - Loyola Circo + Eitis Magia;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-19;2021-07-19;Actividad;Ciclo;Música;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Mago Khapu + Patachusa;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-28;2021-07-28;Actividad;Ciclo;Música;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Ciclo Fogoncitos - Julián Baldani + Los Ludic.;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-27;2021-07-27;Actividad;Ciclo;Música;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Virtual;Comunidad Usina Natural;;;;;;;;2021-07-30;2021-08-27;Convocatoria;;Mixto;Público General;No;si;;;
Presencial;Jugando a la Ciudad del Futuro + Que el arte se convierta en juego!;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-30;2021-07-30;Actividad;Formación;Mixto;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Jugando a la Ciudad del Futuro + Que el arte se convierta en juego !;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-18;2021-07-18;Actividad;Formación;Mixto;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Jugando a la Ciudad del Futuro + Que el arte se convierta en juego !;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-22;2021-07-22;Actividad;Formación;Mixto;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Virtual;Armá tus propias castañuelas;;;;;;;;2021-07-17;2021-07-31;Actividad;Formación;Música;Niños (4-7);No;si;;;https://teatrocolon.org.ar/es/arma-tus-propias-castanuelas
Presencial;¡Arenas Movedizas! Cuidado, no hay que tocar el piso;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-19;2021-07-19;Actividad;Formación;Mixto;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
