grupo,culto,nombre_institucion,domicilio,barrio,cgpc,cp,lat,long
Cristianos,Católico Apostólico Romano ,Sagrada Familia,Avda. Dr. Ricardo Balbín 4127,Saavedra,12.0,C1430AAM,-34.554949,-58.489661
Cristianos,Católico Apostólico Romano ,San Antonio De Padua,Avda. Caseros 2780,Parque Patricios,4.0,C1437AAU,-34.636543,-58.40193
Cristianos,Católico Apostólico Romano ,San  Alfonso  María  De  Ligorio,Barzana 1525,Parque Chas,15.0,C1431EAC,-34.58539,-58.482826
Cristianos,Católico Apostólico Romano ,San Benito Abad,Villanueva 905,Palermo,14.0,C1426BMA,-34.568516,-58.438833
Cristianos,Católico Apostólico Romano ,San Antonio De Padua  (devoto),Avda.  Lincoln  3751,Villa Devoto,11.0,C1419IFC,-34.599966,-58.507055
Cristianos,Católico Apostólico Romano ,San Carlos Borromeo,Hipólito Yrigoyen 4000,Almagro,5.0,C1208ABT,-34.614814,-58.422923
Cristianos,Católico Apostólico Romano ,San Cayetano,Vidal 1745,Belgrano,13.0,C1426AMG,-34.56739,-58.457543
Cristianos,Católico Apostólico Romano ,San Ambrosio,Avda. Elcano 3253,Colegiales,13.0,C1426EJE,-34.573710,-58.459755
Cristianos,Católico Apostólico Romano ,San Bernardo,Gurruchaga 167,Villa Crespo,15.0,C1414DHC,-34.600238,-58.445259
Cristianos,Católico Apostólico Romano ,San Bartolomé Apóstol,Avda. Chiclana 3659,Boedo,5.0,C1262AAA,-34.636947,-58.415466
Cristianos,Católico Apostólico Romano ,San Cosme Y San Damián,Ulrico Schmidl 7432,Mataderos,9.0,C1440CGU,-34.657159,-58.518599
Cristianos,Católico Apostólico Romano ,San Antonio María Zaccaría,Montes De Oca 1808,Barracas,4.0,C1270ABS,-34.649277,-58.372731
Cristianos,Católico Apostólico Romano ,San Ignacio De Loyola,Bolivar 225,Montserrat,1.0,C1066AAE,-34.610460,-58.373479
Cristianos,Católico Apostólico Romano ,San Cayetano (liniers),Cuzco 150,Liniers,9.0,C1408BLD,-34.637579,-58.527976
Cristianos,Católico Apostólico Romano ,San  José Del Talar,Navarro 2452,Agronomia,15.0,C1419HSH,-34.591104,-58.489776
Cristianos,Católico Apostólico Romano ,San Cristobal,Avda. Jujuy 1251,San Cristobal,3.0,C1247ABA,-34.624601,-58.402097
Cristianos,Católico Apostólico Romano ,San Gabriel Arcángel,Avda. Rivadavia 9625,Villa Luro,10.0,C1407DZF,-34.637392,-58.499898
Cristianos,Católico Apostólico Romano ,San Enrique,Estero Bellaco 6943,Liniers,9.0,C1408EKA,-34.648582,-58.523263
Cristianos,Católico Apostólico Romano ,San Francisco Javier,Jorge Luis Borges 1855,Palermo,14.0,C1414DGE,-34.587056,-58.427533
Cristianos,Católico Apostólico Romano ,San Fermín,Estomba 466,Villa Ortuzar,15.0,C1427COL,-34.586366,-58.466727
Cristianos,Católico Apostólico Romano ,San Felipe  Neri,Andalgala 2284,Mataderos,9.0,C1440ENT,-34.662376,-58.506632
Cristianos,Católico Apostólico Romano ,San José Benito Cottolengo,Av. Piedra Buena 3848,Villa Lugano,8.0,C1439GVU,-34.678214,-58.487356
Cristianos,Católico Apostólico Romano ,San Francisco Solano,Zelada 4771,Villa Luro,10.0,C1407GXG,-34.641648,-58.493569
Cristianos,Católico Apostólico Romano ,San Isidro Labrador,Avda. San Isidro 4630,Saavedra,12.0,C1429ADU,-34.542412,-58.474365
Cristianos,Católico Apostólico Romano ,San  Ildefonso,Guise 1939,Palermo,14.0,C1425DPG,-34.590435,-58.412544
Cristianos,Católico Apostólico Romano ,San José De Calazanz,Avda. La Plata 955,Caballito,6.0,C1424BOR,-34.626356,-58.427011
Cristianos,Católico Apostólico Romano ,San Juan Bosco,Avda. Dorrego  2106,Palermo,14.0,C1414CLQ,-34.577974,-58.439404
Cristianos,Católico Apostólico Romano ,San Juan Evangelista,Olavarria  486,Boca,4.0,C1162ABJ,-34.636626,-58.359517
Cristianos,Católico Apostólico Romano ,San José De Flores,Avda. Rivadavia 6950,Flores,7.0,C1406EHB,-34.62913,-58.463338
Cristianos,Católico Apostólico Romano ,San Lorenzo Mártir,Avelino Díaz 576,Parque Chacabuco,7.0,C1424CUF,-34.635493,-58.428295
Cristianos,Católico Apostólico Romano ,San Juan Bautista,Nueva York  4717,Villa Devoto,11.0,C1419HEG,-34.60556,-58.520539
Cristianos,Católico Apostólico Romano ,San Juan Bautista El Precursor,Rogelio Yrurtia 5800,Saavedra,12.0,C1431BJF,-34.563204,-58.50237
