long,lat,id,nombre,tipo,etapa,etapa_obse,estado,subcategor,calle_nombre,calle_altura,calle_cruce,barrio,comuna,codigo_postal,codigo_postal_argentino,objeto
-58.461819784399,-34.5648527685518,109,José Mármol,Biblioteca,Gestión previa HRL,5ta. ETAPA / Noviembre 2012 (Bibliotecas Públicas),Disponible,Biblioteca,JURAMENTO,2937,,Belgrano,Comuna 13,1428,C1428DNY,SITIO WIFI
-58.4290247865609,-34.6594926116402,108,Centro Cultural Eladia Blázquez,Espacio Público,Gestión previa HRL,,Disponible,Centro de Exposiciones y Culturales,Rabanal,2275,,Villa Soldati,Comuna 8,1437,C1437FPJ,SITIO WIFI
-58.4363824199916,-34.6479026144033,107,Javier Villafañe,Biblioteca,Gestión previa HRL,5ta. ETAPA / Noviembre 2012 (Bibliotecas Públicas),Disponible,Biblioteca,"JANER, ANA MARIA",0,"TORRES Y TENORIO, Pres.",Flores,Comuna 7,,,SITIO WIFI
-58.4910133329428,-34.5505371979479,106,Parque del Precinto 12 (Plaza Hungría),Espacio Público,Gestión previa HRL,abr-14,Disponible,Parques y Plazas,Goyeneche,0,Ramallo,Saavedra,Comuna 12,,,SITIO WIFI
-58.3601267430461,-34.6388929303699,105,Htal. Quinquela Martín,Hospitales y Centros de Salud,Gestión previa HRL,,Disponible,Hospital,DON PEDRO DE MENDOZA AV.,1795,,Boca,Comuna 4,1169,C1169AAB,SITIO WIFI
-58.3774643247022,-34.628971063891,103,Htal. Pedro Elizalde,Hospitales y Centros de Salud,Gestión previa HRL,,Disponible,Hospital,"MONTES DE OCA, MANUEL",40,,Barracas,Comuna 4,1270,C1270AAN,SITIO WIFI
-58.375845218526,-34.630212291207,102,Htal. Maria Ferrer,Hospitales y Centros de Salud,Gestión previa HRL,,Disponible,Hospital,FINOCHIETTO ENRIQUE DR.,849,,Barracas,Comuna 4,1272,C1272AAA,SITIO WIFI
-58.4331500579085,-34.6071615843299,101,Htal. Maria Curie,Hospitales y Centros de Salud,Gestión previa HRL,,Disponible,Hospital,CANGALLO,0,PATRICIAS ARGENTINAS AV.,Caballito,Comuna 6,,,SITIO WIFI
-58.3914415333471,-34.6394813054312,99,Htal. Muñiz,Hospitales y Centros de Salud,Gestión previa HRL,3ra. ETAPA / Agosto 2012,Disponible,Hospital,USPALLATA,2200,,Parque Patricios,Comuna 4,1282,C1282AEL,SITIO WIFI
-58.3812555665489,-34.6099440878641,98,Estación Yrigoyen,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,"YRIGOYEN, HIPOLITO",Monserrat,Comuna 1,,,SITIO WIFI
-58.381030356945,-34.6145006069406,97,Estación Venezuela,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,REPUBLICA BOLIVARIANA DE VENEZUELA,Monserrat,Comuna 1,,,SITIO WIFI
-58.3818123103929,-34.6005804300295,96,Estación Teatro Colón,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,VIAMONTE,San Nicolas,Comuna 1,,,SITIO WIFI
-58.3821303401802,-34.595845005054,95,Estación Santa Fe,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,SANTA FE AV.,Retiro,Comuna 1,,,SITIO WIFI
-58.5156373291473,-34.6491866976531,94,Htal. Santojanni,Hospitales y Centros de Salud,Gestión previa HRL,,Disponible,Hospital,PILAR,950,,Liniers,Comuna 9,1408,C1408INH,SITIO WIFI
-58.3818950222302,-34.5982531573038,93,Estación Paraguay,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,PARAGUAY,Retiro,Comuna 1,,,SITIO WIFI
-58.3815394202477,-34.6053778858849,92,Estación Obelisco Sur,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,SARMIENTO,San Nicolas,Comuna 1,,,SITIO WIFI
-58.3817535578343,-34.6017254419825,91,Estación Obelisco Norte,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,TUCUMAN,San Nicolas,Comuna 1,,,SITIO WIFI
-58.3813918661665,-34.6075846089842,90,Estación Mitre,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,"MITRE, BARTOLOME",San Nicolas,Comuna 1,,,SITIO WIFI
-58.3809905284027,-34.6155097729598,89,Estación México,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,MEXICO,Monserrat,Comuna 1,,,SITIO WIFI
-58.3820015194344,-34.5971201763966,88,Estación Marcelo T. de Alvear,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,"ALVEAR, MARCELO T. De",Retiro,Comuna 1,,,SITIO WIFI
-58.4863875242843,-34.5743238335171,87,Estación Juan Manuel de Rosas - Línea B,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea B,TRIUNVIRATO AV.,0,MONROE,Villa Urquiza,Comuna 12,,,SITIO WIFI
-58.3814587397799,-34.6064568154422,82,Estación Juan D. Perón,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,"PERON, JUAN DOMINGO, TTE. GENERAL",San Nicolas,Comuna 1,,,SITIO WIFI
-58.444300153847,-34.5947640307614,81,"Metrobus Juan B. Justo, Estación Av. Corrientes",Metrobus,Segunda etapa HRL,2015,Disponible,Juan B. Justo,CORRIENTES AV.,0,"JUSTO, JUAN B. AV.",Villa Crespo,Comuna 15,,,SITIO WIFI
-58.3808827691278,-34.6178904773706,80,Estación Independencia,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,INDEPENDENCIA AV.,Monserrat,Comuna 1,,,SITIO WIFI
-58.4810166134957,-34.5777972373359,78,Estación Esteban Echeverría - Línea B,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea B,TRIUNVIRATO AV.,0,JURAMENTO,Villa Urquiza,Comuna 12,,,SITIO WIFI
-58.3808540572395,-34.6188767140538,75,Estación Estados Unidos,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,ESTADOS UNIDOS,Constitucion,Comuna 1,,,SITIO WIFI
-58.3818550522952,-34.5994274672618,74,Estación Córdoba,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,CORDOBA AV.,Retiro,Comuna 1,,,SITIO WIFI
-58.3809449927938,-34.6166794883139,73,Estación Chile,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,CHILE,Monserrat,Comuna 1,,,SITIO WIFI
